Quais são os passos para se tornar um fornecedor do Grupo Enel?	Registro, qualificação, participação em processo de compra, faturação e avaliação dos fornecedores.
O que é a plataforma WeBUY?	É uma plataforma onde as empresas podem se registrar como fornecedores e realizar diversas atividades relacionadas à colaboração com o Grupo Enel.
Qual é a validade da qualificação como fornecedor?	A qualificação é válida por cinco anos.
Como é realizado o processo de compra na Enel?	O processo de compra é realizado de forma digital, garantindo simplificação, transparência e redução de papel.
O envio de faturas através do portal WeBUY reduz quais tempos?	Reduz os tempos de transmissão e ativação do processo de registro.
O que é o "Grupo IVA" criado pela Enel?	É um grupo criado para as empresas italianas do Grupo Enel a partir de 1º de janeiro de 2021.
Qual é a finalidade da avaliação do desempenho dos fornecedores?	Monitorar constantemente o desempenho dos fornecedores, resolver questões críticas, incentivar a melhoria e recompensar a excelência.
Onde é possível encontrar ajuda em caso de problemas no processo de tornar-se fornecedor?	Nos centros de contato da Enel Global Procurement em todo o mundo.
Onde é possível encontrar os números de telefone dos centros de contato da Enel Global Procurement?	Na lista de contatos disponível no site.
O que são os "Grupos de Produtos" na qualificação de fornecedores?	São grupos específicos para os quais cada empresa pode se qualificar, de acordo com os produtos que oferecem.
Como é feita a avaliação da qualificação dos fornecedores?	A avaliação é baseada em requisitos técnicos, econômicos/financeiros, ambientais, de segurança, direitos humanos, legais, éticos e de reputação da empresa.
Quais são as ferramentas fornecidas pela WeBUY para a troca eletrônica de documentação?	Ferramentas adequadas para garantir a segurança e validade legal da documentação.
O que é a assinatura eletrônica?	É um método de assinatura de documentos de forma eletrônica, garantindo a segurança e validade jurídica.
A qualificação como fornecedor pode ser renovada?	Sim, é possível renovar a qualificação após o período de validade de cinco anos.
Qual é a finalidade do "Contractor Safety Partnership"?	É um programa que tem como objetivo avaliar e melhorar constantemente medidas de segurança dos fornecedores.
O envio de faturas em formato eletrônico reduz o que?	Reduz os tempos de transmissão e permite o registro imediato.
A avaliação do desempenho dos fornecedores é realizada com que frequência?	A avaliação é realizada de forma constante para monitorar o desempenho dos fornecedores.
Quais são os requisitos avaliados na qualificação dos fornecedores?	São avaliados requisitos técnicos, econômicos/financeiros, ambientais, de segurança, direitos humanos, legais, éticos e de reputação da empresa.
Por quanto tempo a qualificação como fornecedor é válida?	A qualificação é válida por cinco anos.
Quais são os passos iniciais para se tornar um fornecedor do Grupo Enel?	O primeiro passo é registrar a empresa na plataforma WeBUY.
O que é a plataforma WeBUY?	É uma plataforma onde os fornecedores do Grupo Enel podem realizar diversas atividades, como consulta de licitações, gerenciamento de contratos e envio de faturas.
Qual é o objetivo do processo de qualificação dos fornecedores?	O objetivo é selecionar fornecedores que atendam aos requisitos do Grupo Enel e estejam alinhados com os valores e visão estratégica da empresa.
O que é avaliado no processo de qualificação dos fornecedores?	São avaliados requisitos técnicos, econômicos/financeiros, ambientais, de segurança, direitos humanos, legais, éticos e de reputação da empresa.
A qualificação é específica para quais grupos de produtos?	A qualificação é específica para os Grupos de Produtos (GM) para os quais cada empresa pretende se propor.
O envio de faturas através do portal WeBUY reduz o tempo de processamento das faturas?	Sim, é possível conhecer o estado de processamento das faturas enviadas a qualquer momento.
A Enel criou um "Grupo IVA" para quais empresas?	O "Grupo IVA" foi criado para as empresas italianas do Grupo Enel.
Como é possível acessar a plataforma WeBUY?	É possível acessar a plataforma WeBUY após registrar a empresa na plataforma.
Quais são as etapas para se qualificar como fornecedor?	As etapas incluem o registro na plataforma WeBUY, a qualificação de acordo com os requisitos do Grupo Enel e a participação nos processos de compra.
O que são os "Grupos de Produtos" na qualificação de fornecedores?	São grupos específicos para os quais cada empresa pode se qualificar, com base nos produtos que oferecem.
Onde é possível encontrar ajuda em caso de problemas no processo de tornar-se fornecedor?	É possível encontrar ajuda nos centros de contato da Enel Global Procurement em todo o mundo.
O texto é de quem?	Enel Spa
